Payment_Type,Total_Transactions,Total_Amount,Quarter,Year,State
Recharge & bill payments,4200,1845307.467,1,2018,andaman-&-nicobar-islands
Peer-to-peer payments,1871,12138655.3,1,2018,andaman-&-nicobar-islands
Merchant payments,298,452507.1686,1,2018,andaman-&-nicobar-islands
Financial Services,33,10601.41993,1,2018,andaman-&-nicobar-islands
Others,256,184689.8663,1,2018,andaman-&-nicobar-islands
Recharge & bill payments,6735,2320944.731,2,2018,andaman-&-nicobar-islands
Peer-to-peer payments,3575,24511925.23,2,2018,andaman-&-nicobar-islands
Merchant payments,603,1024491.013,2,2018,andaman-&-nicobar-islands
Financial Services,59,121336.0271,2,2018,andaman-&-nicobar-islands
Others,368,359838.5054,2,2018,andaman-&-nicobar-islands
Recharge & bill payments,8636,4343504.868,3,2018,andaman-&-nicobar-islands
Peer-to-peer payments,6448,49270781.54,3,2018,andaman-&-nicobar-islands
Merchant payments,945,1627359.839,3,2018,andaman-&-nicobar-islands
Financial Services,42,1481.490704,3,2018,andaman-&-nicobar-islands
Others,194,314343.3941,3,2018,andaman-&-nicobar-islands
Recharge & bill payments,11517,5450549.512,4,2018,andaman-&-nicobar-islands
Peer-to-peer payments,10451,81001456.98,4,2018,andaman-&-nicobar-islands
Merchant payments,1421,3552027.735,4,2018,andaman-&-nicobar-islands
Financial Services,29,76035.78774,4,2018,andaman-&-nicobar-islands
Others,340,468266.0607,4,2018,andaman-&-nicobar-islands
Recharge & bill payments,15263,6611459.873,1,2019,andaman-&-nicobar-islands
Peer-to-peer payments,13119,91808345.87,1,2019,andaman-&-nicobar-islands
Merchant payments,1759,3266589.847,1,2019,andaman-&-nicobar-islands
Financial Services,62,116250.4367,1,2019,andaman-&-nicobar-islands
Others,283,497094.6484,1,2019,andaman-&-nicobar-islands
Recharge & bill payments,14676,7242448.256,2,2019,andaman-&-nicobar-islands
Peer-to-peer payments,14481,107525358.7,2,2019,andaman-&-nicobar-islands
Merchant payments,4031,4702152.617,2,2019,andaman-&-nicobar-islands
Financial Services,124,113278.9137,2,2019,andaman-&-nicobar-islands
Others,377,671471.2226,2,2019,andaman-&-nicobar-islands
Recharge & bill payments,16219,8171737.706,3,2019,andaman-&-nicobar-islands
Peer-to-peer payments,13767,101079821.1,3,2019,andaman-&-nicobar-islands
Merchant payments,3519,4428734.575,3,2019,andaman-&-nicobar-islands
Financial Services,50,158857.9432,3,2019,andaman-&-nicobar-islands
Others,215,232624.7599,3,2019,andaman-&-nicobar-islands
Peer-to-peer payments,18128,121493224.3,4,2019,andaman-&-nicobar-islands
Recharge & bill payments,13851,9538690.916,4,2019,andaman-&-nicobar-islands
Merchant payments,2920,5247500.488,4,2019,andaman-&-nicobar-islands
Financial Services,60,295937.2111,4,2019,andaman-&-nicobar-islands
Others,200,263177.5944,4,2019,andaman-&-nicobar-islands
Peer-to-peer payments,18324,142332401.8,1,2020,andaman-&-nicobar-islands
Recharge & bill payments,18268,10850414.02,1,2020,andaman-&-nicobar-islands
Merchant payments,4424,7752871.558,1,2020,andaman-&-nicobar-islands
Financial Services,66,208231.7307,1,2020,andaman-&-nicobar-islands
Others,216,332393.192,1,2020,andaman-&-nicobar-islands
Recharge & bill payments,38125,17659622.73,2,2020,andaman-&-nicobar-islands
Peer-to-peer payments,20303,141728757.7,2,2020,andaman-&-nicobar-islands
Merchant payments,4004,9236375.74,2,2020,andaman-&-nicobar-islands
Financial Services,175,706932.1397,2,2020,andaman-&-nicobar-islands
Others,355,313313.0646,2,2020,andaman-&-nicobar-islands
Recharge & bill payments,59310,24756220.88,3,2020,andaman-&-nicobar-islands
Peer-to-peer payments,40697,289078946.7,3,2020,andaman-&-nicobar-islands
Merchant payments,16096,22682992.24,3,2020,andaman-&-nicobar-islands
Financial Services,572,961836.713,3,2020,andaman-&-nicobar-islands
Others,808,539449.7722,3,2020,andaman-&-nicobar-islands
Peer-to-peer payments,81439,533316526.2,4,2020,andaman-&-nicobar-islands
Recharge & bill payments,80811,33710030.53,4,2020,andaman-&-nicobar-islands
Merchant payments,59391,56867468.94,4,2020,andaman-&-nicobar-islands
Financial Services,965,1880546.967,4,2020,andaman-&-nicobar-islands
Others,1925,1508083.692,4,2020,andaman-&-nicobar-islands
Peer-to-peer payments,105458,665391395.7,1,2021,andaman-&-nicobar-islands
Recharge & bill payments,84119,37160922.87,1,2021,andaman-&-nicobar-islands
Merchant payments,53090,78606979.06,1,2021,andaman-&-nicobar-islands
Financial Services,884,1469351.085,1,2021,andaman-&-nicobar-islands
Others,1201,1077918.666,1,2021,andaman-&-nicobar-islands
Peer-to-peer payments,132772,748382044.8,2,2021,andaman-&-nicobar-islands
Recharge & bill payments,120911,43691961.26,2,2021,andaman-&-nicobar-islands
Merchant payments,85143,103707408.5,2,2021,andaman-&-nicobar-islands
Financial Services,960,2038521.514,2,2021,andaman-&-nicobar-islands
Others,1628,1327080.056,2,2021,andaman-&-nicobar-islands
Peer-to-peer payments,192321,1077787837,3,2021,andaman-&-nicobar-islands
Recharge & bill payments,136010,51243450.86,3,2021,andaman-&-nicobar-islands
Merchant payments,118340,176991328.2,3,2021,andaman-&-nicobar-islands
Financial Services,990,2351013.442,3,2021,andaman-&-nicobar-islands
Others,2103,1650766.127,3,2021,andaman-&-nicobar-islands
Peer-to-peer payments,285778,1544932663,4,2021,andaman-&-nicobar-islands
Merchant payments,210164,322842314.6,4,2021,andaman-&-nicobar-islands
Recharge & bill payments,135608,59243518.11,4,2021,andaman-&-nicobar-islands
Financial Services,1718,3137965.167,4,2021,andaman-&-nicobar-islands
Others,2855,2453640.143,4,2021,andaman-&-nicobar-islands
Peer-to-peer payments,342649,1682328506,1,2022,andaman-&-nicobar-islands
Merchant payments,284298,370091558.7,1,2022,andaman-&-nicobar-islands
Recharge & bill payments,163401,71300133.66,1,2022,andaman-&-nicobar-islands
Financial Services,1757,2869682.023,1,2022,andaman-&-nicobar-islands
Others,2643,2440321.982,1,2022,andaman-&-nicobar-islands
Merchant payments,449540,510838980.9,2,2022,andaman-&-nicobar-islands
Peer-to-peer payments,437606,2088309073,2,2022,andaman-&-nicobar-islands
Recharge & bill payments,179515,82232936.62,2,2022,andaman-&-nicobar-islands
Financial Services,1448,2089862.393,2,2022,andaman-&-nicobar-islands
Others,3108,2449496.708,2,2022,andaman-&-nicobar-islands
Merchant payments,716105,693438186.3,3,2022,andaman-&-nicobar-islands
Peer-to-peer payments,622217,2514535155,3,2022,andaman-&-nicobar-islands
Recharge & bill payments,240766,97748065.63,3,2022,andaman-&-nicobar-islands
Financial Services,1814,2166304.978,3,2022,andaman-&-nicobar-islands
Others,3477,2744060.671,3,2022,andaman-&-nicobar-islands
Merchant payments,956536,906365300.7,4,2022,andaman-&-nicobar-islands
Peer-to-peer payments,768758,2961630585,4,2022,andaman-&-nicobar-islands
Recharge & bill payments,256050,110037119.7,4,2022,andaman-&-nicobar-islands
Financial Services,2499,3533987.23,4,2022,andaman-&-nicobar-islands
Others,3692,3107412.044,4,2022,andaman-&-nicobar-islands
Recharge & bill payments,5027448,892293975.7,1,2018,andhra-pradesh
Peer-to-peer payments,3049646,10524250283,1,2018,andhra-pradesh
Merchant payments,362672,247297640.2,1,2018,andhra-pradesh
Financial Services,204305,44808449.76,1,2018,andhra-pradesh
Others,395514,287626043,1,2018,andhra-pradesh
Recharge & bill payments,6456387,1598591488,2,2018,andhra-pradesh
Peer-to-peer payments,4745000,20451493099,2,2018,andhra-pradesh
Merchant payments,604847,436785223.9,2,2018,andhra-pradesh
Financial Services,225621,68952114.81,2,2018,andhra-pradesh
Others,322063,328092346.6,2,2018,andhra-pradesh
Peer-to-peer payments,16129591,32738630445,3,2018,andhra-pradesh
Recharge & bill payments,7542005,1949098147,3,2018,andhra-pradesh
Merchant payments,1225416,685277254.5,3,2018,andhra-pradesh
Financial Services,380324,60790077.57,3,2018,andhra-pradesh
Others,348725,284248675.6,3,2018,andhra-pradesh
Peer-to-peer payments,17580086,47011639726,4,2018,andhra-pradesh
Recharge & bill payments,9767083,2418164314,4,2018,andhra-pradesh
Merchant payments,2622131,1671585889,4,2018,andhra-pradesh
Financial Services,400837,57178116.4,4,2018,andhra-pradesh
Others,389411,315211361.3,4,2018,andhra-pradesh
Peer-to-peer payments,37420988,77524329742,1,2019,andhra-pradesh
Recharge & bill payments,14022264,3480641602,1,2019,andhra-pradesh
Merchant payments,5043682,2423536770,1,2019,andhra-pradesh
Financial Services,416325,47150177.53,1,2019,andhra-pradesh
Others,361263,284937624.5,1,2019,andhra-pradesh
Peer-to-peer payments,32494402,1.03925E+11,2,2019,andhra-pradesh
Recharge & bill payments,14093964,4708345388,2,2019,andhra-pradesh
Merchant payments,9226537,4613405203,2,2019,andhra-pradesh
Financial Services,145310,26626696.77,2,2019,andhra-pradesh
Others,448802,361492238.4,2,2019,andhra-pradesh
Peer-to-peer payments,39023491,1.24339E+11,3,2019,andhra-pradesh
Recharge & bill payments,20147629,6893984677,3,2019,andhra-pradesh
Merchant payments,16581787,7887394038,3,2019,andhra-pradesh
Financial Services,122270,29778183.03,3,2019,andhra-pradesh
Others,413437,298142027.6,3,2019,andhra-pradesh
Peer-to-peer payments,57181511,1.78894E+11,4,2019,andhra-pradesh
Merchant payments,25122370,13476303368,4,2019,andhra-pradesh
Recharge & bill payments,24469888,8335168606,4,2019,andhra-pradesh
Financial Services,105662,26796571.75,4,2019,andhra-pradesh
Others,338672,216496893.2,4,2019,andhra-pradesh
Peer-to-peer payments,65452143,2.23089E+11,1,2020,andhra-pradesh
Merchant payments,31408022,18603161784,1,2020,andhra-pradesh
Recharge & bill payments,30449644,10813530778,1,2020,andhra-pradesh
Financial Services,75238,43739133.17,1,2020,andhra-pradesh
Others,292310,188228538.4,1,2020,andhra-pradesh
Peer-to-peer payments,73609921,2.62732E+11,2,2020,andhra-pradesh
Recharge & bill payments,41013987,16991006437,2,2020,andhra-pradesh
Merchant payments,29976765,22625596525,2,2020,andhra-pradesh
Financial Services,140941,145274999.2,2,2020,andhra-pradesh
Others,176241,90087654.6,2,2020,andhra-pradesh
Peer-to-peer payments,106791894,4.06462E+11,3,2020,andhra-pradesh
Merchant payments,54055557,40739580214,3,2020,andhra-pradesh
Recharge & bill payments,43500067,19475104675,3,2020,andhra-pradesh
Financial Services,243088,256074924.7,3,2020,andhra-pradesh
Others,312329,151582519.2,3,2020,andhra-pradesh
Peer-to-peer payments,152003791,5.66639E+11,4,2020,andhra-pradesh
Merchant payments,86581460,66654048150,4,2020,andhra-pradesh
Recharge & bill payments,46810304,20936337212,4,2020,andhra-pradesh
Financial Services,265470,305168772.5,4,2020,andhra-pradesh
Others,457527,306853355.6,4,2020,andhra-pradesh
Peer-to-peer payments,149313738,5.80542E+11,1,2021,andhra-pradesh
Merchant payments,97920281,70813192713,1,2021,andhra-pradesh
Recharge & bill payments,41940689,20546424964,1,2021,andhra-pradesh
Financial Services,225355,270313028.5,1,2021,andhra-pradesh
Others,347907,272546457.6,1,2021,andhra-pradesh
Peer-to-peer payments,189614879,7.37004E+11,2,2021,andhra-pradesh
Merchant payments,112875274,88512429437,2,2021,andhra-pradesh
Recharge & bill payments,49626902,24646800345,2,2021,andhra-pradesh
Financial Services,243237,265483044.4,2,2021,andhra-pradesh
Others,406842,308302224.4,2,2021,andhra-pradesh
Peer-to-peer payments,221280317,8.37841E+11,3,2021,andhra-pradesh
Merchant payments,158290953,1.18164E+11,3,2021,andhra-pradesh
Recharge & bill payments,51702350,27511344958,3,2021,andhra-pradesh
Financial Services,211171,297239697.8,3,2021,andhra-pradesh
Others,547759,403948275.6,3,2021,andhra-pradesh
Peer-to-peer payments,262006450,9.7127E+11,4,2021,andhra-pradesh
Merchant payments,207538904,1.52884E+11,4,2021,andhra-pradesh
Recharge & bill payments,51762842,31232784714,4,2021,andhra-pradesh
Financial Services,243951,332740108.7,4,2021,andhra-pradesh
Others,701856,545223415.7,4,2021,andhra-pradesh
