Mobile_Model_Name,Registered_Users,Share_Percentage_of_Mobile_Brand,Quarter,Year,State
Xiaomi,1665,0.247032641,1,2018,andaman-&-nicobar-islands
Samsung,1445,0.214391691,1,2018,andaman-&-nicobar-islands
Vivo,982,0.145697329,1,2018,andaman-&-nicobar-islands
Oppo,501,0.074332344,1,2018,andaman-&-nicobar-islands
OnePlus,332,0.04925816,1,2018,andaman-&-nicobar-islands
Realme,316,0.046884273,1,2018,andaman-&-nicobar-islands
Apple,229,0.033976261,1,2018,andaman-&-nicobar-islands
Motorola,226,0.033531157,1,2018,andaman-&-nicobar-islands
Lenovo,202,0.029970326,1,2018,andaman-&-nicobar-islands
Huawei,158,0.023442136,1,2018,andaman-&-nicobar-islands
Others,684,0.10148368,1,2018,andaman-&-nicobar-islands
Xiaomi,2303,0.24486975,2,2018,andaman-&-nicobar-islands
Samsung,1923,0.20446571,2,2018,andaman-&-nicobar-islands
Vivo,1523,0.161935141,2,2018,andaman-&-nicobar-islands
Oppo,708,0.075279107,2,2018,andaman-&-nicobar-islands
OnePlus,466,0.049548113,2,2018,andaman-&-nicobar-islands
Realme,465,0.049441786,2,2018,andaman-&-nicobar-islands
Motorola,319,0.033918129,2,2018,andaman-&-nicobar-islands
Apple,308,0.032748538,2,2018,andaman-&-nicobar-islands
Lenovo,244,0.025943647,2,2018,andaman-&-nicobar-islands
Huawei,230,0.024455077,2,2018,andaman-&-nicobar-islands
Others,916,0.097395003,2,2018,andaman-&-nicobar-islands
Xiaomi,2950,0.242818339,3,2018,andaman-&-nicobar-islands
Samsung,2409,0.198287925,3,2018,andaman-&-nicobar-islands
Vivo,2063,0.169808215,3,2018,andaman-&-nicobar-islands
Oppo,988,0.081323566,3,2018,andaman-&-nicobar-islands
OnePlus,617,0.050786073,3,2018,andaman-&-nicobar-islands
Realme,603,0.049633715,3,2018,andaman-&-nicobar-islands
Motorola,390,0.032101408,3,2018,andaman-&-nicobar-islands
Apple,371,0.030537493,3,2018,andaman-&-nicobar-islands
Huawei,314,0.025845749,3,2018,andaman-&-nicobar-islands
Lenovo,299,0.024611079,3,2018,andaman-&-nicobar-islands
Others,1145,0.09424644,3,2018,andaman-&-nicobar-islands
Xiaomi,3719,0.244317435,4,2018,andaman-&-nicobar-islands
Samsung,2936,0.192878728,4,2018,andaman-&-nicobar-islands
Vivo,2742,0.180134017,4,2018,andaman-&-nicobar-islands
Oppo,1268,0.083300486,4,2018,andaman-&-nicobar-islands
Realme,760,0.049927736,4,2018,andaman-&-nicobar-islands
OnePlus,721,0.047365655,4,2018,andaman-&-nicobar-islands
Motorola,474,0.031139141,4,2018,andaman-&-nicobar-islands
Apple,455,0.029890947,4,2018,andaman-&-nicobar-islands
Huawei,398,0.026146367,4,2018,andaman-&-nicobar-islands
Lenovo,377,0.024766785,4,2018,andaman-&-nicobar-islands
Others,1372,0.090132703,4,2018,andaman-&-nicobar-islands
