Locations,Total_Transactions_Locationwise,Total_Amount,Quarter,Year,State
north and middle andaman district,442,931663.0771,1,2018,andaman-&-nicobar-islands
south andaman district,5688,12560249.34,1,2018,andaman-&-nicobar-islands
nicobars district,528,1139848.801,1,2018,andaman-&-nicobar-islands
north and middle andaman district,825,1317863.083,2,2018,andaman-&-nicobar-islands
south andaman district,9395,23948235.52,2,2018,andaman-&-nicobar-islands
nicobars district,1120,3072436.908,2,2018,andaman-&-nicobar-islands
north and middle andaman district,1283,4901529.518,3,2018,andaman-&-nicobar-islands
south andaman district,13511,44268112.46,3,2018,andaman-&-nicobar-islands
nicobars district,1471,6387829.152,3,2018,andaman-&-nicobar-islands
north and middle andaman district,2137,7955635.918,4,2018,andaman-&-nicobar-islands
south andaman district,20136,75411840.8,4,2018,andaman-&-nicobar-islands
nicobars district,1485,7180859.355,4,2018,andaman-&-nicobar-islands
north and middle andaman district,3264,9561708.736,1,2019,andaman-&-nicobar-islands
south andaman district,25683,85501972.39,1,2019,andaman-&-nicobar-islands
nicobars district,1539,7236059.549,1,2019,andaman-&-nicobar-islands
north and middle andaman district,3371,8612103.138,2,2019,andaman-&-nicobar-islands
south andaman district,28490,102530955.7,2,2019,andaman-&-nicobar-islands
nicobars district,1828,9111650.824,2,2019,andaman-&-nicobar-islands
north and middle andaman district,4049,11481466.28,3,2019,andaman-&-nicobar-islands
south andaman district,27421,91023888.33,3,2019,andaman-&-nicobar-islands
nicobars district,2300,11566421.48,3,2019,andaman-&-nicobar-islands
north and middle andaman district,4716,13524056.78,4,2019,andaman-&-nicobar-islands
south andaman district,27843,110930312.2,4,2019,andaman-&-nicobar-islands
nicobars district,2600,12384161.53,4,2019,andaman-&-nicobar-islands
north and middle andaman district,5674,14697371.62,1,2020,andaman-&-nicobar-islands
south andaman district,32713,134679396.9,1,2020,andaman-&-nicobar-islands
nicobars district,2911,12099543.77,1,2020,andaman-&-nicobar-islands
north and middle andaman district,10979,22447714.06,2,2020,andaman-&-nicobar-islands
south andaman district,48088,132855778.7,2,2020,andaman-&-nicobar-islands
nicobars district,3895,14341508.6,2,2020,andaman-&-nicobar-islands
north and middle andaman district,16747,33486883.37,3,2020,andaman-&-nicobar-islands
south andaman district,95323,282366109.2,3,2020,andaman-&-nicobar-islands
nicobars district,5413,22166453.75,3,2020,andaman-&-nicobar-islands
north and middle andaman district,29349,68941322.39,4,2020,andaman-&-nicobar-islands
south andaman district,186494,523122462.9,4,2020,andaman-&-nicobar-islands
nicobars district,8688,35218871.04,4,2020,andaman-&-nicobar-islands
north and middle andaman district,27358,75027255.28,1,2021,andaman-&-nicobar-islands
south andaman district,207092,669604045.1,1,2021,andaman-&-nicobar-islands
nicobars district,10302,39075266.99,1,2021,andaman-&-nicobar-islands
north and middle andaman district,39200,90233388.79,2,2021,andaman-&-nicobar-islands
south andaman district,286907,760893020.6,2,2021,andaman-&-nicobar-islands
nicobars district,15307,48020606.75,2,2021,andaman-&-nicobar-islands
north and middle andaman district,46592,118254865.8,3,2021,andaman-&-nicobar-islands
south andaman district,382418,1116789011,3,2021,andaman-&-nicobar-islands
nicobars district,20754,74980519.33,3,2021,andaman-&-nicobar-islands
north and middle andaman district,53115,156486112.3,4,2021,andaman-&-nicobar-islands
south andaman district,558571,1694794708,4,2021,andaman-&-nicobar-islands
nicobars district,24437,81329281.03,4,2021,andaman-&-nicobar-islands
north and middle andaman district,60059,161624878.5,1,2022,andaman-&-nicobar-islands
south andaman district,705512,1872991196,1,2022,andaman-&-nicobar-islands
nicobars district,29177,94414127.65,1,2022,andaman-&-nicobar-islands
north and middle andaman district,72573,195693167.8,2,2022,andaman-&-nicobar-islands
south andaman district,954875,2357326563,2,2022,andaman-&-nicobar-islands
nicobars district,43769,132900618.9,2,2022,andaman-&-nicobar-islands
north and middle andaman district,79574,211581970.3,3,2022,andaman-&-nicobar-islands
south andaman district,1455255,2967719401,3,2022,andaman-&-nicobar-islands
nicobars district,49550,131330400.9,3,2022,andaman-&-nicobar-islands
north and middle andaman district,93297,241431284.4,4,2022,andaman-&-nicobar-islands
south andaman district,1835592,3600887266,4,2022,andaman-&-nicobar-islands
nicobars district,58646,142355854,4,2022,andaman-&-nicobar-islands
east godavari district,943935,1235785516,1,2018,andhra-pradesh
srikakulam district,458921,587778028.9,1,2018,andhra-pradesh
spsr nellore district,531612,676643237.8,1,2018,andhra-pradesh
vizianagaram district,420990,505783445.8,1,2018,andhra-pradesh
visakhapatnam district,1256469,1749966197,1,2018,andhra-pradesh
prakasam district,534757,748990775.9,1,2018,andhra-pradesh
anantapur district,638664,788830646,1,2018,andhra-pradesh
ysr district,487333,681481931.1,1,2018,andhra-pradesh
west godavari district,577090,853547668.8,1,2018,andhra-pradesh
kurnool district,679623,764905298.7,1,2018,andhra-pradesh
chittoor district,830324,1009621878,1,2018,andhra-pradesh
guntur district,815932,1108686589,1,2018,andhra-pradesh
krishna district,863935,1284255180,1,2018,andhra-pradesh
east godavari district,1221677,2168914928,2,2018,andhra-pradesh
srikakulam district,559868,929392017.4,2,2018,andhra-pradesh
